scorer,,,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais
bodyparts,,,nose,nose,rightEar,rightEar,leftEar,leftEar,head,head,neck,neck,center,center,hip,hip,tailBase,tailBase,RfrontPaw,RfrontPaw,LfrontPaw,LfrontPaw,RrearPaw,RrearPaw,LrearPaw,LrearPaw,foodPlate,foodPlate,foodPellet1,foodPellet1,foodPellet2,foodPellet2,frontTopHouse,frontTopHouse,frontBottomHouse,frontBottomHouse,backTopHouse,backTopHouse,backBottomHouse,backBottomHouse,centerHouse,centerHouse,centerBackHouse,centerBackHouse,upMothTop,upMothTop,upMothBottom,upMothBottom,upMothWingRight,upMothWingRight,upMothWingLeft,upMothWingLeft,downMothTop,downMothTop,downMothBottom,downMothBottom,downMothWingRight,downMothWingRight,downMothWingLeft,downMothWingLeft,upWormHead,upWormHead,upWormCenter,upWormCenter,upWormTail,upWormTail,downWormHead,downWormHead,downWormCenter,downWormCenter,downWormTail,downWormTail,blackCricket,blackCricket,blackSwoop,blackSwoop,blackLoom,blackLoom,yellowCricket,yellowCricket,yellowSwoop,yellowSwoop,greyLoom,greyLoom,flash,flash,cornerTopL,cornerTopL,cornerTopR,cornerTopR,cornerBottomL,cornerBottomL,cornerBottomR,cornerBottomR,windowTop,windowTop,windowBottom,windowBottom
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,110322_Cropped_ROI_0,img00571.png,32.71280087527356,32.11019068458896,47.09229446702096,28.67161613004066,50.8434667083464,47.42747733666772,43.65371991247267,36.173960612691474,53.344248202563335,35.861362925914364,73.97569552985311,33.985776805251675,90.85597061581745,30.85979993748049,103.35987808690217,26.796030009377944,,,,,,,,,53.656845889340445,42.113316661456736,,,38.9647546108159,23.044857768052537,147.12355423569866,17.730697092841524,147.74874960925288,78.99984370115664,218.39582682088152,17.418099406064414,219.95881525476707,78.6872460143795,192.4502188183807,47.74007502344486,224.96037824320095,45.55189121600503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.582135042200733,15.229915598624586,251.531181619256,18.355892466395773,23.022272585182918,145.89574867145984,243.0910440762738,144.02016255079712,8.01758361988125,87.1273835573617,8.330181306658375,149.9595185995624
labeled-data,110322_Cropped_ROI_0,img01833.png,11.456158174429547,94.62972804001251,30.21201938105662,82.1258205689278,29.89942169427951,101.81947483588624,22.39707721162867,91.50375117224135,31.14981244138798,90.25336042513285,40.84034073147862,87.4399812441388,51.15606439512351,85.56439512347609,,,13.01914660831514,80.87542982181932,,,35.526180056267606,70.24710847139733,,,52.40645514223198,41.17552360112538,68.97413254141921,27.733823069709302,32.71280087527356,26.483432322600834,148.68654266958427,17.418099406064414,148.99914035636138,78.99984370115664,217.45803376055014,16.480306345733055,218.39582682088152,77.12425758049392,191.19982807127226,42.425914348233846,225.89817130353234,41.8007189746796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01914660831514,16.167708658955945,250.5933885589246,17.730697092841524,18.02070959674903,144.95795561112848,238.0894810878399,146.52094404501406,7.70498593310414,86.81478587058456,8.642778993435499,147.77133479212256
labeled-data,110322_Cropped_ROI_0,img03780.png,,,113.98819943732417,59.61878712097533,132.74406064395123,68.37152235073461,123.67872772741481,63.36995936230073,127.74249765551735,57.4306033135355,136.80783057205377,43.051109721788066,139.3086120662707,32.735386058143206,141.49679587371054,28.046420756486413,,,,,,,,,53.969443576117555,40.86292591434827,69.91192560175057,24.607846201938116,35.838777743044744,27.108627696155082,148.99914035636138,18.668490153172883,148.99914035636138,78.99984370115664,217.45803376055014,16.480306345733055,220.58401062832135,77.43685526727103,194.0132072522663,45.55189121600503,224.96037824320095,41.8007189746796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.207330415754967,15.542513285401725,243.4036417630509,14.917317911847476,18.958502657080373,145.58315098468273,237.15168802750858,146.52094404501406,8.01758361988125,84.62660206314476,8.01758361988125,148.39653016567678
labeled-data,110322_Cropped_ROI_0,img03832.png,108.9866364488903,21.48186933416696,123.67872772741481,38.98733979368555,104.92286652078775,38.67474210690844,112.42521100343859,32.42278837136607,114.92599249765553,39.61253516723977,113.67560175054706,56.49281025320414,105.548061894342,67.74632697718039,,,,,,,,,87.10479837449205,45.86448890278214,54.282041262894694,41.48812128790249,100.85909659268523,23.357455454829648,36.7765708033761,27.421225382932192,149.6243357299156,18.668490153172883,149.6243357299156,78.99984370115664,217.14543607377303,16.792904032510194,220.58401062832135,78.06205064082528,193.3880118787121,45.86448890278214,225.58557361675523,44.30150046889656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.894732728977843,15.855110972178835,239.65246952172552,14.604720225070366,17.395514223194795,143.0823694904658,238.0894810878399,143.70756486402001,7.392388246327016,86.18959049703034,7.70498593310414,148.08393247889967
labeled-data,110322_Cropped_ROI_0,img05247.png,,,212.76906845889337,123.07611753673024,231.52492966552043,122.13832447639888,223.3973898093154,124.0139105970616,223.3973898093154,116.8241638011879,224.33518286964673,100.56908408877774,228.08635511097216,86.50218818380745,233.08791809940604,80.87542982181932,,,,,,,,,51.78125976867773,40.55032822757113,96.48272897780558,23.670053141606786,34.900984682713386,26.170834635823724,147.74874960925288,18.355892466395773,147.74874960925288,80.2502344482651,216.83283838699592,16.480306345733055,219.33361988121285,77.74945295404817,190.57463269771804,44.92669584245078,224.96037824320095,43.363707408565205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.269537355423608,15.229915598624586,239.3398718349484,14.292122538293228,17.395514223194795,145.58315098468273,237.4642857142857,147.1461394185683,7.392388246327016,86.18959049703034,8.642778993435499,148.08393247889967
labeled-data,110322_Cropped_ROI_0,img05320.png,9.267974366989733,131.2036573929353,29.274226320725262,125.26430134417006,29.89942169427951,143.70756486402001,22.70967489840578,133.079243513598,32.40020318849645,132.45404814004377,46.15450140668963,131.82885276648955,55.84502969678027,127.13988746483277,62.09698343232262,121.20053141606752,,,,,35.213582369490496,110.57221006564552,,,52.09385745545487,40.55032822757113,95.54493591747422,24.607846201938116,35.213582369490496,26.483432322600834,146.1857611753673,18.043294779618662,148.06134729603,78.37464832760239,216.2076430134417,15.542513285401725,218.39582682088152,78.37464832760239,191.82502344482648,45.23929352922789,224.02258518286962,44.92669584245078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.519928102532077,16.480306345733055,237.4642857142857,14.604720225070366,17.08291653641767,146.83354173179117,236.5264926539543,144.95795561112848,7.079790559549906,88.06517661769306,8.01758361988125,149.33432322600814
labeled-data,110322_Cropped_ROI_0,img06179.png,203.70373554235695,30.23460456392624,203.07854016880273,44.30150046889656,187.44865582994683,32.11019068458896,197.45178180681464,37.42435135979997,192.1376211316036,43.676305095342315,180.25890903407313,53.366833385432955,173.69435761175365,60.556580181306686,,,,,,,,,,,52.71905282900909,40.23773054079402,88.98038449515477,23.044857768052537,51.15606439512351,18.043294779618662,146.81095654892152,17.105501719287304,148.06134729603,78.6872460143795,216.83283838699592,15.855110972178835,218.39582682088152,79.31244138793375,189.63683963738666,48.67786808377619,224.64778055642384,46.17708658955925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.207330415754967,16.480306345733055,239.96506720850263,17.105501719287304,18.02070959674903,144.64535792435134,236.2138949671772,144.02016255079712,7.079790559549906,85.87699281025323,8.642778993435499,153.39809315411065
labeled-data,110322_Cropped_ROI_0,img08924.png,202.1407471084714,48.05267271022197,194.0132072522663,58.99359174742108,191.51242575804937,43.051109721788066,194.0132072522663,49.92825883088466,187.44865582994683,51.803844951547376,174.31955298530792,55.55501719287278,162.75343857455456,60.869177868083796,,,,,,,,,,,50.8434667083464,38.98733979368555,87.72999374804627,20.23147858705849,,,146.81095654892152,17.418099406064414,149.9369334166927,80.2502344482651,216.5202407002188,16.480306345733055,218.70842450765863,78.37464832760239,189.63683963738666,45.23929352922789,224.96037824320095,45.23929352922789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.583698030634608,16.167708658955945,235.9012972804001,15.855110972178835,18.645904970303263,143.3949671772429,232.46272272585182,144.95795561112848,8.01758361988125,86.18959049703034,7.079790559549906,152.77289778055643
